,lat,lon
0,45.049602,7.684859
1,45.048169,7.684837
2,45.070141,7.664186
3,45.069974,7.66498
4,45.064533,7.695944
5,45.070307,7.681524
6,45.070307,7.681524
7,45.055991,7.676738
8,45.070527,7.683906
9,45.062478,7.698806
10,45.062409,7.698665
11,45.050361,7.769479
12,45.049986,7.68725
13,45.052059,7.685194
14,45.050118,7.685033
15,45.049065,7.684121
16,45.072545,7.68573
17,45.067756,7.681224
18,45.050361,7.769479
19,45.098511,7.735816
20,45.050361,7.769479
21,45.050361,7.769479
22,45.071575,7.68543
23,45.06442,7.690676
24,45.050164,7.685376
25,45.050361,7.769479
26,45.067635,7.681095
27,45.067756,7.681224
28,45.050361,7.769479
29,45.050361,7.769479
30,45.050361,7.769479
31,45.050361,7.769479
32,45.050361,7.769479
33,45.050361,7.769479
34,45.066655,7.681739
35,45.066655,7.681739
36,45.077816,7.638555
37,45.077816,7.638555
38,45.077816,7.638555
39,45.076217,7.640798
40,45.077824,7.638587
41,45.076217,7.640798
42,45.071065,7.68573
43,45.070307,7.681524
44,45.066867,7.682254
45,45.066708,7.682136
46,45.065375,7.680805
47,45.066655,7.681739
48,45.066655,7.681739
49,45.0703,7.684346
50,45.065375,7.680805
51,45.065375,7.680805
52,45.065375,7.680805
53,45.065375,7.680805
54,45.065375,7.680805
55,45.065375,7.680805
56,45.068012,7.632086
57,45.061593,7.694034
58,45.06398,7.69692
59,45.052855,7.68691
60,45.061714,7.638351
61,45.048822,7.685011
62,45.052893,7.68691
63,45.071232,7.685698
64,45.066655,7.682361
65,45.071957,7.688326
66,45.078025,7.649013
67,45.071732,7.683906
68,45.071293,7.686502
69,45.071262,7.686524
70,45.063253,7.678638
71,45.061775,7.679786
72,45.04905,7.685129
73,45.09715,7.656913
74,45.058683,7.687489
75,45.07097,7.68367
76,45.068012,7.632086
77,45.068012,7.632086
78,45.067845,7.631893
79,45.068012,7.632086
80,45.080869,7.76669
81,45.071704,7.685444
82,45.080869,7.76669
83,45.076217,7.640798
84,45.059782,7.697392
85,45.059782,7.697392
86,45.067852,7.682061
87,45.067852,7.682061
88,45.068565,7.684121
89,45.06861,7.684164
90,45.06858,7.684099
91,45.08046,7.76684
92,45.059782,7.697392
93,45.067822,7.682093
94,45.030541,7.684567
95,45.098511,7.735816
96,45.070747,7.686352
